cell,feature,group,perm_importance
1_none_baseline,Hgb_min,non_SOFA,-5.2366625360456e-07
1_none_baseline,Hgb_max,non_SOFA,-1.6377762750624525e-05
1_none_baseline,Hgb_std,non_SOFA,-0.0001007567018787292
1_none_baseline,PTT_mean,non_SOFA,4.176707970087734e-05
1_none_baseline,PTT_min,non_SOFA,-8.06010830322612e-06
1_none_baseline,PTT_max,non_SOFA,-0.000538983440325802
1_none_baseline,PTT_std,non_SOFA,-1.9910836162073674e-05
1_none_baseline,WBC_mean,non_SOFA,-0.0004595008574413417
1_none_baseline,WBC_min,non_SOFA,0.0010748862655863222
1_none_baseline,WBC_max,non_SOFA,-2.7044182718377606e-05
1_none_baseline,WBC_std,non_SOFA,0.00015447412983322085
1_none_baseline,Fibrinogen_mean,non_SOFA,-0.00028884142907945607
1_none_baseline,Fibrinogen_min,non_SOFA,-0.0003832037721081427
1_none_baseline,Fibrinogen_max,non_SOFA,-0.00021033292172644713
1_none_baseline,Fibrinogen_std,non_SOFA,-2.709058766350303e-05
1_none_baseline,Platelets_mean,SOFA_lab_core,0.00020735544082094436
1_none_baseline,Platelets_min,SOFA_lab_core,0.00045237983272451433
1_none_baseline,Platelets_max,SOFA_lab_core,0.0005191164303874729
1_none_baseline,Platelets_std,SOFA_lab_core,-0.00017703921157209978
1_none_baseline,HR_last,non_SOFA,0.0007520419774177889
1_none_baseline,O2Sat_last,SOFA_other(MAP+resp),0.0011748388527291708
1_none_baseline,Temp_last,non_SOFA,0.006470032510558809
1_none_baseline,SBP_last,non_SOFA,0.0010329527405204264
1_none_baseline,MAP_last,SOFA_other(MAP+resp),0.0031230352531669446
1_none_baseline,DBP_last,non_SOFA,0.0006540894862243185
1_none_baseline,Resp_last,non_SOFA,0.00033338792756201774
1_none_baseline,EtCO2_last,non_SOFA,0.00016306284663266667
1_none_baseline,BaseExcess_last,non_SOFA,0.0013231043174841417
1_none_baseline,HCO3_last,non_SOFA,-0.0008733845386523886
1_none_baseline,FiO2_last,SOFA_other(MAP+resp),0.0006500672337253599
1_none_baseline,pH_last,non_SOFA,0.0003284632313764801
1_none_baseline,PaCO2_last,non_SOFA,-0.00046299744173484145
1_none_baseline,SaO2_last,SOFA_other(MAP+resp),0.0016034100046709188
1_none_baseline,AST_last,non_SOFA,0.00042215524651216253
1_none_baseline,BUN_last,non_SOFA,0.0006432775119917467
1_none_baseline,Alkalinephos_last,non_SOFA,-0.0004652661229980537
1_none_baseline,Calcium_last,non_SOFA,0.0011497289884679796
1_none_baseline,Chloride_last,non_SOFA,-0.00036178103868727554
1_none_baseline,Creatinine_last,SOFA_lab_core,0.001053723204744128
1_none_baseline,Bilirubin_direct_last,non_SOFA,-0.00018585883839525308
1_none_baseline,Glucose_last,non_SOFA,0.0015855516502994772
1_none_baseline,Lactate_last,non_SOFA,-0.0014012369367335353
1_none_baseline,Magnesium_last,non_SOFA,0.0002467590899611238
1_none_baseline,Phosphate_last,non_SOFA,-0.0001598239233804144
1_none_baseline,Potassium_last,non_SOFA,0.0003757390972516095
1_none_baseline,Bilirubin_total_last,SOFA_lab_core,-0.00114215834599099
1_none_baseline,TroponinI_last,non_SOFA,0.0013592558553715995
1_none_baseline,Hct_last,non_SOFA,0.001972284147219472
1_none_baseline,Hgb_last,non_SOFA,0.001223826328858485
1_none_baseline,PTT_last,non_SOFA,-0.0005977220676275652
1_none_baseline,WBC_last,non_SOFA,-9.45841859897878e-06
1_none_baseline,Fibrinogen_last,non_SOFA,-0.00016254181548283064
1_none_baseline,Platelets_last,SOFA_lab_core,0.0011057806989876462
1_none_baseline,Gender,non_SOFA,9.396618246618749e-05
1_none_baseline,Unit1,non_SOFA,0.0022198509671295663
1_none_baseline,Unit2,non_SOFA,0.000887597819184277
1_none_baseline,HR_n,non_SOFA,-0.0010243359231871141
1_none_baseline,O2Sat_n,SOFA_other(MAP+resp),-0.000648405689649617
1_none_baseline,Temp_n,non_SOFA,0.000431357067443644
1_none_baseline,SBP_n,non_SOFA,-0.001902632088707301
1_none_baseline,MAP_n,SOFA_other(MAP+resp),-0.0010555530808925128
1_none_baseline,DBP_n,non_SOFA,-0.0004365659580964909
1_none_baseline,Resp_n,non_SOFA,0.0011153441235294548
1_none_baseline,EtCO2_n,non_SOFA,0.0017829022120899873
