site,model,condition,arm,split,auprc,auroc
A,xgboost,1_none,lab_indicators_only,13,0.16044718222312604,0.719742378833288
A,xgboost,1_none,lab_indicators_only,14,0.17344598906746486,0.698021462105969
A,xgboost,1_none,lab_indicators_only,15,0.1690292941763504,0.7369571675591678
A,xgboost,1_none,lab_indicators_only,16,0.193954376393955,0.7116256217673809
A,xgboost,1_none,lab_indicators_only,17,0.16077696696597688,0.7193267773215822
A,xgboost,1_none,lab_indicators_only,18,0.18413359258054984,0.748104168558714
A,xgboost,1_none,lab_indicators_only,19,0.1627810897363059,0.7326192000487776
A,xgboost,1_none,lab_indicators_only,20,0.17925740843504429,0.7194105683315686
A,xgboost,1_none,lab_indicators_only,21,0.18907846539846507,0.7249331576261245
A,xgboost,1_none,lab_indicators_only,22,0.1550569524678133,0.7081673382643073
A,xgboost,1_none,lab_indicators_only,23,0.1648426940789241,0.723291859655496
A,xgboost,1_none,lab_indicators_only,24,0.15913273765495417,0.7311482531552954
A,xgboost,5_SMOTENC,full,0,0.1404411960458075,0.6998739326167933
A,xgboost,5_SMOTENC,full,1,0.14112655124470336,0.7195781503515415
A,xgboost,5_SMOTENC,full,2,0.1789759133544469,0.7572879135276778
A,xgboost,5_SMOTENC,full,3,0.15458756046423455,0.7130634516998152
A,xgboost,5_SMOTENC,full,4,0.15069170309233446,0.728591244436315
A,xgboost,5_SMOTENC,full,5,0.15943735511466509,0.729735905971252
A,xgboost,5_SMOTENC,full,6,0.16104169671372395,0.7282276677914974
A,xgboost,5_SMOTENC,full,7,0.20611286951922564,0.7552921640170934
A,xgboost,5_SMOTENC,full,8,0.1579321187644181,0.7170291829382739
A,xgboost,5_SMOTENC,full,9,0.1487360219576758,0.7269907322724225
A,xgboost,5_SMOTENC,full,10,0.14537591022886132,0.695046427836897
A,xgboost,5_SMOTENC,full,11,0.16847530316237283,0.726723238294015
A,xgboost,5_SMOTENC,full,12,0.19198284042954974,0.7607842838534724
A,xgboost,5_SMOTENC,full,13,0.1737630849246021,0.7281695577150123
A,xgboost,5_SMOTENC,full,14,0.14497484533356134,0.6969620754832022
A,xgboost,5_SMOTENC,full,15,0.1767511013608085,0.7092147258891369
A,xgboost,5_SMOTENC,full,16,0.18394506738749022,0.7026352272640711
A,xgboost,5_SMOTENC,full,17,0.1596555333697223,0.7312327181041903
A,xgboost,5_SMOTENC,full,18,0.16366036453538998,0.7270456815911361
A,xgboost,5_SMOTENC,full,19,0.14855114538703776,0.715897658679349
A,xgboost,5_SMOTENC,full,20,0.1601183248347382,0.7206979029395411
A,xgboost,5_SMOTENC,full,21,0.17421793545275802,0.7241599951248867
A,xgboost,5_SMOTENC,full,22,0.17204827155704006,0.7188735441312015
A,xgboost,5_SMOTENC,full,23,0.1821704722465503,0.7235151212423938
A,xgboost,5_SMOTENC,full,24,0.16636724182786405,0.7309920126821535
A,xgboost,5_SMOTENC,lab_indicators_only,0,0.13161592736825323,0.692460332574136
A,xgboost,5_SMOTENC,lab_indicators_only,1,0.1291393891767124,0.7054250870283899
A,xgboost,5_SMOTENC,lab_indicators_only,2,0.16953061521245338,0.7379702770435486
A,xgboost,5_SMOTENC,lab_indicators_only,3,0.14690826394380685,0.70253231616868
A,xgboost,5_SMOTENC,lab_indicators_only,4,0.1443256949666327,0.7115800865800866
A,xgboost,5_SMOTENC,lab_indicators_only,5,0.15883624824369627,0.7179175648809024
A,xgboost,5_SMOTENC,lab_indicators_only,6,0.15097774001155545,0.7139260658597337
A,xgboost,5_SMOTENC,lab_indicators_only,7,0.18175153128230032,0.7559396400033517
A,xgboost,5_SMOTENC,lab_indicators_only,8,0.16695557968432045,0.7055293191656828
A,xgboost,5_SMOTENC,lab_indicators_only,9,0.1395895767429523,0.7096289860374366
A,xgboost,5_SMOTENC,lab_indicators_only,10,0.14007026879431378,0.6729789227523062
A,xgboost,5_SMOTENC,lab_indicators_only,11,0.1767650530380718,0.7473282093861165
A,xgboost,5_SMOTENC,lab_indicators_only,12,0.15792834791771426,0.733133250557972
A,xgboost,5_SMOTENC,lab_indicators_only,13,0.12997919894460103,0.6975902884993793
A,xgboost,5_SMOTENC,lab_indicators_only,14,0.1495640963175014,0.7124108286080116
