site,model,condition,arm,split,auprc,auroc
A,lightgbm,5_SMOTENC,lab_indicators_only,3,0.2298670594194514,0.7377429131752542
A,lightgbm,5_SMOTENC,lab_indicators_only,4,0.19885638310813547,0.7317505596164894
A,lightgbm,5_SMOTENC,lab_indicators_only,5,0.17508578133087196,0.7011153403558467
A,lightgbm,5_SMOTENC,lab_indicators_only,6,0.17420052594096674,0.6812513618985361
A,lightgbm,5_SMOTENC,lab_indicators_only,7,0.23199405057355593,0.7591321487292249
A,lightgbm,5_SMOTENC,lab_indicators_only,8,0.19378435367495034,0.7071076246508587
A,lightgbm,5_SMOTENC,lab_indicators_only,9,0.19792416005656469,0.7315128464174641
A,lightgbm,5_SMOTENC,lab_indicators_only,10,0.19065390969871832,0.7078132837626507
A,lightgbm,5_SMOTENC,lab_indicators_only,11,0.19145385209216118,0.7108367504605693
A,lightgbm,5_SMOTENC,lab_indicators_only,12,0.19783316002484833,0.6904379865692042
A,lightgbm,5_SMOTENC,lab_indicators_only,13,0.19662125354841292,0.7254511598423169
A,lightgbm,5_SMOTENC,lab_indicators_only,14,0.17694229468296882,0.6938749232384461
A,lightgbm,5_SMOTENC,lab_indicators_only,15,0.19257130478345721,0.7197289349188084
A,lightgbm,5_SMOTENC,lab_indicators_only,16,0.2000819865932474,0.7300816148649988
A,lightgbm,5_SMOTENC,lab_indicators_only,17,0.16954061736048193,0.6802757473108695
A,lightgbm,5_SMOTENC,lab_indicators_only,18,0.1715131772294151,0.7149744458311048
A,lightgbm,5_SMOTENC,lab_indicators_only,19,0.19118130324679442,0.7468602048295399
A,lightgbm,5_SMOTENC,lab_indicators_only,20,0.2402980434289555,0.7336461007347083
A,lightgbm,5_SMOTENC,lab_indicators_only,21,0.21331588151527361,0.7573492997365345
A,lightgbm,5_SMOTENC,lab_indicators_only,22,0.2130781231111309,0.7406202333551238
A,lightgbm,5_SMOTENC,lab_indicators_only,23,0.176134674776118,0.7168241516610209
A,lightgbm,5_SMOTENC,lab_indicators_only,24,0.17743843735298792,0.7087270458192191
B,RF,1_none,full,0,0.18065833445417798,0.7880795265869129
B,RF,1_none,full,1,0.21031047174926012,0.7761122227425603
B,RF,1_none,full,2,0.15260614356338736,0.7173924025055567
B,RF,1_none,full,3,0.13452112602282368,0.7149332833455464
B,RF,1_none,full,4,0.1630751252017428,0.7375470765665207
B,RF,1_none,full,5,0.13671398824638178,0.7364255609008472
B,RF,1_none,full,6,0.14359795873067177,0.7086253139767551
B,RF,1_none,full,7,0.15745340509760908,0.7656681484474979
B,RF,1_none,full,8,0.15846495678470257,0.7501363303283857
B,RF,1_none,full,9,0.16224592620454356,0.7673182120277433
B,RF,1_none,full,10,0.17054443273423686,0.7405679254118949
B,RF,1_none,full,11,0.13633909445906478,0.7172463706415769
B,RF,1_none,full,12,0.17417508931607584,0.7440434094429851
B,RF,1_none,full,13,0.17225822055443057,0.7425955590395529
B,RF,1_none,full,14,0.16571789041985696,0.7505751435728771
B,RF,1_none,full,15,0.15358246212843463,0.7292477329813956
B,RF,1_none,full,16,0.18980627606195793,0.7607348120396782
B,RF,1_none,full,17,0.18690196394133726,0.7993197278911565
B,RF,1_none,full,18,0.1511389741227154,0.7394045772907757
B,RF,1_none,full,19,0.14441395991653955,0.7229000869105844
B,RF,1_none,full,20,0.142680631175339,0.7307122482864319
B,RF,1_none,full,21,0.19452678821934116,0.7936906637149305
B,RF,1_none,full,22,0.1678598483878466,0.7392781369973732
B,RF,1_none,full,23,0.13673859248888912,0.7289625262009849
B,RF,1_none,full,24,0.19778037633899942,0.7674673233244149
B,RF,1_none,lab_indicators_only,0,0.1709468956499202,0.7921835752905615
B,RF,1_none,lab_indicators_only,1,0.21820358707444426,0.7817914768615096
B,RF,1_none,lab_indicators_only,2,0.1361933021368131,0.6858372061695965
B,RF,1_none,lab_indicators_only,3,0.13649403318203998,0.7040694603023125
B,RF,1_none,lab_indicators_only,4,0.15340786579120702,0.7441335355566537
B,RF,1_none,lab_indicators_only,5,0.14933521069314734,0.7398654689429095
B,RF,1_none,lab_indicators_only,6,0.13844823177754906,0.7114053386691641
B,RF,1_none,lab_indicators_only,7,0.14834898818677578,0.7542306526571023
B,RF,1_none,lab_indicators_only,8,0.1805189040116997,0.7788977692950018
B,RF,1_none,lab_indicators_only,9,0.17156715193556907,0.7554148702305686
B,RF,1_none,lab_indicators_only,10,0.17195820302695053,0.7339648346034313
B,RF,1_none,lab_indicators_only,11,0.13599919576518196,0.7257907956916003
B,RF,1_none,lab_indicators_only,12,0.16711379193142434,0.7427215935879302
B,RF,1_none,lab_indicators_only,13,0.1572039822629734,0.7216731139551132
B,RF,1_none,lab_indicators_only,14,0.17959336545119972,0.7412450367239822
B,RF,1_none,lab_indicators_only,15,0.1523164955525712,0.7389373749414619
B,RF,1_none,lab_indicators_only,16,0.1925147777721031,0.7629315849972328
B,RF,1_none,lab_indicators_only,17,0.1804417585637591,0.7993407759143261
B,RF,1_none,lab_indicators_only,18,0.13990951846825864,0.7346713587021353
B,RF,1_none,lab_indicators_only,19,0.12384525465739021,0.6953187573490567
B,RF,1_none,lab_indicators_only,20,0.13705810882061503,0.7413214696240794
B,RF,1_none,lab_indicators_only,21,0.1998231298871806,0.7816382136319129
B,RF,1_none,lab_indicators_only,22,0.16324964858678798,0.730707381962686
B,RF,1_none,lab_indicators_only,23,0.12910418049754105,0.7213280278113869
B,RF,1_none,lab_indicators_only,24,0.1705797977210335,0.7496123106286532
B,RF,5_SMOTENC,full,0,0.1292391346806957,0.7409808846694197
B,RF,5_SMOTENC,full,1,0.11911046657704497,0.7091234194729449
B,RF,5_SMOTENC,full,2,0.13492450793357214,0.7120798814575336
B,RF,5_SMOTENC,full,3,0.11295318807903133,0.6747627000221537
B,RF,5_SMOTENC,full,4,0.12257997909435092,0.699723931085019
B,RF,5_SMOTENC,full,5,0.13276219971690809,0.7244029120013624
B,RF,5_SMOTENC,full,6,0.1118256494695424,0.6854144493167014
B,RF,5_SMOTENC,full,7,0.1191264583763423,0.7036901394221056
B,RF,5_SMOTENC,full,8,0.1390516030208256,0.7400734479644177
B,RF,5_SMOTENC,full,9,0.10213879887687223,0.6726027163817931
B,RF,5_SMOTENC,full,10,0.09276504809678367,0.6543956745710758
B,RF,5_SMOTENC,full,11,0.1698605597606599,0.7202648048022479
B,RF,5_SMOTENC,full,12,0.11881002461099813,0.7003687613659324
B,RF,5_SMOTENC,full,13,0.10974165554557876,0.7191041393295956
B,RF,5_SMOTENC,full,14,0.12642510943682386,0.6931715546769823
B,RF,5_SMOTENC,full,15,0.10855756343005285,0.6715270977904552
